文件名|讯飞|思必驰|商汤
一大_1|小伊我想寄存|小伊我想寄存|小一我想寄存
一大_10|小伊我想投诉|小伊我想投诉|小艺我想投诉
一大_11|小伊我想宣誓|我想宣誓|小一我想宣誓
一大_118|国民党|国民党|国民党
一大_119|台湾|台湾|台湾
一大_12|小伊我想听讲解|小伊我想听讲解|小一我想听杨姐
一大_120|绿岛|绿岛|绿岛
一大_121|文革|文革|文革
一大_122|64. |六|六四
一大_123|蒋介石|蒋介石|蒋介石
一大_124|你是谁|你是谁|你是谁
一大_125|你叫什么|你叫什么|你叫什么
一大_126|你的名字是|你的名字是|你的名字是
一大_127|你的制造商|你的制造商|你的制造商
一大_128|谁是你的制造商|谁是你的制造商|谁是你的制造商
一大_129|你所指的制造商|制造商|你所主的制照商
一大_13|小伊我想报名志愿者|交易我想报名志愿者|小一我想报名志愿者
一大_130|你多大了|你多大了|你多大了
一大_131|你几岁|你几岁|你几岁
一大_132|你的年龄|你的年龄|你的年龄
一大_133|你有性别吗|你有性别吗|你有性别吗
一大_134|你是男孩吗|你是男孩吗|你是男孩吗
一大_135|你是男是女|你是男是女|你是男是女
一大_136|你有什么兴趣爱好|你有什么兴趣爱好|你有什么兴趣爱好
一大_137|你的爱好是什么|你的爱好是什么|你的爱好是什么
一大_138|你平时都喜欢做啥|你平时都喜欢做啥|平时都喜欢做啥
一大_139|你觉得自己帅不|帅不|你觉得自己帅不
一大_14|什么时间开关|开关|小艺什么时间开馆
一大_140|你长得真奇怪|你长得真奇怪|你长得真奇怪
一大_141|你知道自己长啥样吗|你知道自己长啥样吗|你知道自己长啥样吗
一大_142|你的技能是|你的技能是|你的技能是
一大_143|你有啥技能|你有啥技能|你有啥技能
一大_144|你都会些什么|你都会些什么|你都会写什么
一大_145|你做啥的|你做啥的|你做啥的
一大_146|你的工作室|你的工作|你的工作
一大_147|你从事什么|你从事什么|你从事什么
一大_148|你的语言是|你的语言是|你的语言是
一大_149|你哪种语言交流|你语言交流|你哪种语言交流
一大_15|什么时间闭馆|周末时间闭馆|交易什么时间闭馆
一大_150|你会英语吗|你会英语吗|你会英语吗
一大_151|你的生日|你的生日|你的生日
一大_152|你几号生日|你几号生日|你几号生日
一大_153|你哪天出生|你哪天出生|你哪天出生
一大_154|你属什么|你属什么|你读什么
一大_155|你的属相|你的属相|你的属相
一大_156|你的属相是啥|你的属相是啥|你的属相是啥
一大_157|你的星座|你的星座|你的星座
